tag,alg,N,mode,frequency_mhz,period_ns,lat_addsub,lat_mul,lat_fma,lat_rec,addsub_count,mul_count,mads_count,impl_strategies,impl_run_names,max_bram,schedule_time,memory_variables,ilp_objective_mux,synth_rc,impl_wns_ns,power_w,power_dynamic_w,power_static_w,impl_slice_luts,impl_slice_luts_util_pct,impl_slice_registers,impl_slice_registers_util_pct,impl_dsps,impl_dsps_util_pct,impl_bram_tiles,impl_bram_tiles_util_pct,status,error,run_dir
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,default,impl_1,0,114,55,30.0,0,0.039,0.188,0.097,0.091,986,6.85,966,3.35,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260323_130722/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,Performance_Auto_1,impl_2,0,114,55,30.0,0,0.12,0.188,0.097,0.091,998,6.93,975,3.39,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260323_130722/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,Performance_Auto_2,impl_3,0,114,55,30.0,0,0.12,0.188,0.097,0.091,998,6.93,975,3.39,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260323_130722/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,Performance_Auto_3,impl_4,0,114,55,30.0,0,0.12,0.188,0.097,0.091,998,6.93,975,3.39,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260323_130722/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,Performance_Explore,impl_5,0,114,55,30.0,0,0.125,0.188,0.097,0.091,995,6.91,966,3.35,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260323_130722/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,4,mult,200,5.0,5,4,9,13,1,2,,default,impl_1,0,109,63,43.0,0,0.047,0.21,0.119,0.091,1239,8.6,1150,3.99,14,21.21,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260323_130722/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,4,mult,200,5.0,5,4,9,13,1,2,,Performance_Auto_1,impl_2,0,109,63,43.0,0,-0.008,0.21,0.119,0.091,1239,8.6,1150,3.99,14,21.21,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260323_130722/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,4,mult,200,5.0,5,4,9,13,1,2,,Performance_Auto_2,impl_3,0,109,63,43.0,0,-0.008,0.21,0.119,0.091,1239,8.6,1150,3.99,14,21.21,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260323_130722/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,4,mult,200,5.0,5,4,9,13,1,2,,Performance_Auto_3,impl_4,0,109,63,43.0,0,-0.008,0.21,0.119,0.091,1239,8.6,1150,3.99,14,21.21,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260323_130722/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,4,mult,200,5.0,5,4,9,13,1,2,,Performance_Explore,impl_5,0,109,63,43.0,0,0.044,0.21,0.119,0.091,1239,8.6,1150,3.99,14,21.21,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260323_130722/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
