tag,alg,N,mode,frequency_mhz,period_ns,lat_addsub,lat_mul,lat_fma,lat_rec,addsub_count,mul_count,mads_count,impl_strategies,impl_run_names,max_bram,schedule_time,memory_variables,num_memories,num_processing_elements,ilp_objective_mux,synth_rc,impl_wns_ns,power_w,power_dynamic_w,power_static_w,impl_slice_luts,impl_slice_luts_util_pct,impl_slice_registers,impl_slice_registers_util_pct,impl_dsps,impl_dsps_util_pct,impl_bram_tiles,impl_bram_tiles_util_pct,status,error,run_dir
addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2,addsub,8,eqs,200,5.0,5,4,9,13,2,2,,default,impl_1,0,317,318,7,8,78.0,0,-0.101,0.284,0.193,0.092,2602,18.07,1652,5.74,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181428/addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2
addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2,addsub,8,eqs,200,5.0,5,4,9,13,2,2,,Performance_Auto_1,impl_2,0,317,318,7,8,78.0,0,0.105,0.284,0.193,0.092,2618,18.18,1662,5.77,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181428/addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2
addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2,addsub,8,eqs,200,5.0,5,4,9,13,2,2,,Performance_Explore,impl_3,0,317,318,7,8,78.0,0,0.062,0.284,0.193,0.092,2614,18.15,1652,5.74,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181428/addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2
addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2,addsub,8,eqs,200,5.0,5,4,9,13,2,2,,Performance_Retiming,impl_4,0,317,318,7,8,78.0,0,-0.082,0.284,0.193,0.092,2599,18.05,1652,5.74,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181428/addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2
addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2,addsub,8,eqs,200,5.0,5,4,9,13,2,2,,Performance_ExtraTimingOpt,impl_5,0,317,318,7,8,78.0,0,0.135,0.284,0.193,0.092,2615,18.16,1652,5.74,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181428/addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2
addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2,addsub,8,eqs,200,5.0,5,4,9,13,2,2,,Performance_RefinePlacement,impl_6,0,317,318,7,8,78.0,0,0.053,0.284,0.193,0.092,2609,18.12,1652,5.74,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181428/addsub_N8_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul2
addsub_N8_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,8,mult,200,5.0,5,4,9,13,1,2,,default,impl_1,0,256,581,6,7,66.0,0,-0.083,0.241,0.15,0.091,1867,12.97,1292,4.49,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181428/addsub_N8_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
addsub_N8_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,8,mult,200,5.0,5,4,9,13,1,2,,Performance_Auto_1,impl_2,0,256,581,6,7,66.0,0,0.066,0.241,0.15,0.091,1875,13.02,1284,4.46,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181428/addsub_N8_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
addsub_N8_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,8,mult,200,5.0,5,4,9,13,1,2,,Performance_Explore,impl_3,0,256,581,6,7,66.0,0,0.029,0.241,0.15,0.091,1871,12.99,1284,4.46,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181428/addsub_N8_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
addsub_N8_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,8,mult,200,5.0,5,4,9,13,1,2,,Performance_Retiming,impl_4,0,256,581,6,7,66.0,0,0.045,0.241,0.15,0.091,1867,12.97,1284,4.46,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260327_181428/addsub_N8_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
