tag,alg,N,mode,frequency_mhz,period_ns,lat_addsub,lat_mul,lat_fma,lat_rec,addsub_count,mul_count,mads_count,impl_strategies,impl_run_names,max_bram,schedule_time,memory_variables,num_memories,num_processing_elements,ilp_objective_mux,synth_rc,impl_wns_ns,power_w,power_dynamic_w,power_static_w,impl_slice_luts,impl_slice_luts_util_pct,impl_slice_registers,impl_slice_registers_util_pct,impl_dsps,impl_dsps_util_pct,impl_bram_tiles,impl_bram_tiles_util_pct,status,error,run_dir
addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1,addsub,16,eqs,300,3.333,5,4,16,14,1,1,,default,impl_1,0,2228,2279,4,6,35.0,0,-1.286,0.375,0.283,0.093,3575,24.83,1131,3.93,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1
addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1,addsub,16,eqs,300,3.333,5,4,16,14,1,1,,Performance_Explore,impl_2,0,2228,2279,4,6,35.0,0,-1.223,0.375,0.283,0.093,3578,24.85,1147,3.98,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1
addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1,addsub,16,eqs,300,3.333,5,4,16,14,1,1,,Performance_ExplorePostRoutePhysOpt,impl_3,0,2228,2279,4,6,35.0,0,-1.249,0.375,0.283,0.093,3578,24.85,1147,3.98,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1
addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1,addsub,16,eqs,300,3.333,5,4,16,14,1,1,,Performance_ExploreWithRemap,impl_4,0,2228,2279,4,6,35.0,0,-1.2,0.375,0.283,0.093,3575,24.83,1140,3.96,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1
addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1,addsub,16,eqs,300,3.333,5,4,16,14,1,1,,Performance_Retiming,impl_5,0,2228,2279,4,6,35.0,0,-1.193,0.375,0.283,0.093,3567,24.77,1137,3.95,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1
addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1,addsub,16,eqs,300,3.333,5,4,16,14,1,1,,Performance_ExtraTimingOpt,impl_6,0,2228,2279,4,6,35.0,0,-1.25,0.375,0.283,0.093,3585,24.9,1130,3.92,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_eqs_f300MHz_latA5_latM4_latF16_latR14_addsub1_mul1
addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3,addsub,16,mult,300,3.333,5,4,16,14,2,3,,default,impl_1,0,1068,4799,12,9,277.0,0,-1.418,0.825,0.726,0.099,8663,60.16,2293,7.96,17,25.76,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3
addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3,addsub,16,mult,300,3.333,5,4,16,14,2,3,,Performance_Explore,impl_2,0,1068,4799,12,9,277.0,0,-1.368,0.825,0.726,0.099,8665,60.17,2277,7.91,17,25.76,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3
addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3,addsub,16,mult,300,3.333,5,4,16,14,2,3,,Performance_ExplorePostRoutePhysOpt,impl_3,0,1068,4799,12,9,277.0,0,-1.401,0.825,0.726,0.099,8665,60.17,2277,7.91,17,25.76,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3
addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3,addsub,16,mult,300,3.333,5,4,16,14,2,3,,Performance_ExploreWithRemap,impl_4,0,1068,4799,12,9,277.0,0,-1.438,0.825,0.726,0.099,8652,60.08,2279,7.91,17,25.76,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3
addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3,addsub,16,mult,300,3.333,5,4,16,14,2,3,,Performance_Retiming,impl_5,0,1068,4799,12,9,277.0,0,-1.426,0.825,0.726,0.099,8667,60.19,2270,7.88,17,25.76,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3
addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3,addsub,16,mult,300,3.333,5,4,16,14,2,3,,Performance_ExtraTimingOpt,impl_6,0,1068,4799,12,9,277.0,0,-1.46,0.825,0.726,0.099,8685,60.31,2316,8.04,17,25.76,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_100810/addsub_N16_mult_f300MHz_latA5_latM4_latF16_latR14_addsub2_mul3
