tag,alg,N,mode,frequency_mhz,period_ns,lat_addsub,lat_mul,lat_fma,lat_rec,addsub_count,mul_count,mads_count,impl_strategies,impl_run_names,max_bram,schedule_time,memory_variables,num_memories,num_processing_elements,ilp_objective_mux,synth_rc,impl_wns_ns,power_w,power_dynamic_w,power_static_w,impl_slice_luts,impl_slice_luts_util_pct,impl_slice_registers,impl_slice_registers_util_pct,impl_dsps,impl_dsps_util_pct,impl_bram_tiles,impl_bram_tiles_util_pct,status,error,run_dir
addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3,addsub,16,eqs,200,5.0,5,4,9,13,2,3,,default,impl_1,0,1076,4018,15,9,311.0,0,0.032,0.626,0.531,0.096,9897,68.73,2433,8.45,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_161042/addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3
addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3,addsub,16,eqs,200,5.0,5,4,9,13,2,3,,Performance_Explore,impl_2,0,1076,4018,15,9,311.0,0,0.005,0.626,0.531,0.096,9899,68.74,2433,8.45,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_161042/addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3
addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3,addsub,16,eqs,200,5.0,5,4,9,13,2,3,,Performance_ExplorePostRoutePhysOpt,impl_3,0,1076,4018,15,9,311.0,0,0.005,0.626,0.531,0.096,9899,68.74,2433,8.45,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_161042/addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3
addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3,addsub,16,eqs,200,5.0,5,4,9,13,2,3,,Performance_ExploreWithRemap,impl_4,0,1076,4018,15,9,311.0,0,0.015,0.626,0.531,0.096,9896,68.72,2441,8.48,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_161042/addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3
addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3,addsub,16,eqs,200,5.0,5,4,9,13,2,3,,Performance_Retiming,impl_5,0,1076,4018,15,9,311.0,0,0.018,0.626,0.531,0.096,9896,68.72,2433,8.45,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_161042/addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3
addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3,addsub,16,eqs,200,5.0,5,4,9,13,2,3,,Performance_ExtraTimingOpt,impl_6,0,1076,4018,15,9,311.0,0,0.039,0.626,0.531,0.096,9902,68.76,2431,8.44,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_161042/addsub_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_addsub2_mul3
addsub_N16_eqs_f300MHz_latA9_latM6_latF16_latR19_addsub2_mul2,addsub,16,eqs,300,3.333,9,6,16,19,2,2,,default,impl_1,0,1364,2332,11,8,143.0,0,-0.329,0.658,0.562,0.096,7685,53.37,2766,9.6,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_161042/addsub_N16_eqs_f300MHz_latA9_latM6_latF16_latR19_addsub2_mul2
addsub_N16_eqs_f300MHz_latA9_latM6_latF16_latR19_addsub2_mul2,addsub,16,eqs,300,3.333,9,6,16,19,2,2,,Performance_Explore,impl_2,0,1364,2332,11,8,143.0,0,-0.291,0.658,0.562,0.096,7722,53.63,2873,9.98,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_161042/addsub_N16_eqs_f300MHz_latA9_latM6_latF16_latR19_addsub2_mul2
addsub_N16_eqs_f300MHz_latA9_latM6_latF16_latR19_addsub2_mul2,addsub,16,eqs,300,3.333,9,6,16,19,2,2,,Performance_ExplorePostRoutePhysOpt,impl_3,0,1364,2332,11,8,143.0,0,-0.243,0.658,0.562,0.096,7722,53.63,2873,9.98,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_161042/addsub_N16_eqs_f300MHz_latA9_latM6_latF16_latR19_addsub2_mul2
addsub_N16_eqs_f300MHz_latA9_latM6_latF16_latR19_addsub2_mul2,addsub,16,eqs,300,3.333,9,6,16,19,2,2,,Performance_ExploreWithRemap,impl_4,0,1364,2332,11,8,143.0,0,-0.262,0.658,0.562,0.096,7743,53.77,2824,9.81,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_161042/addsub_N16_eqs_f300MHz_latA9_latM6_latF16_latR19_addsub2_mul2
