tag,alg,N,mode,frequency_mhz,period_ns,lat_addsub,lat_mul,lat_fma,lat_rec,addsub_count,mul_count,mads_count,impl_strategies,impl_run_names,max_bram,schedule_time,memory_variables,num_memories,num_processing_elements,ilp_objective_mux,synth_rc,impl_wns_ns,power_w,power_dynamic_w,power_static_w,impl_slice_luts,impl_slice_luts_util_pct,impl_slice_registers,impl_slice_registers_util_pct,impl_dsps,impl_dsps_util_pct,impl_bram_tiles,impl_bram_tiles_util_pct,status,error,run_dir
fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,fma,16,eqs,200,5.0,5,4,9,13,,,3,default,impl_1,0,998,1981,17,6,,0,0.063,0.544,0.449,0.095,7431,51.6,3451,11.98,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,fma,16,eqs,200,5.0,5,4,9,13,,,3,Performance_Explore,impl_2,0,998,1981,17,6,,0,0.064,0.544,0.449,0.095,7431,51.6,3451,11.98,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,fma,16,eqs,200,5.0,5,4,9,13,,,3,Performance_ExplorePostRoutePhysOpt,impl_3,0,998,1981,17,6,,0,0.064,0.544,0.449,0.095,7431,51.6,3451,11.98,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,fma,16,eqs,200,5.0,5,4,9,13,,,3,Performance_ExploreWithRemap,impl_4,0,998,1981,17,6,,0,0.117,0.544,0.449,0.095,7423,51.55,3452,11.99,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,fma,16,eqs,200,5.0,5,4,9,13,,,3,Performance_Retiming,impl_5,0,998,1981,17,6,,0,0.049,0.544,0.449,0.095,7432,51.61,3451,11.98,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,fma,16,eqs,200,5.0,5,4,9,13,,,3,Performance_ExtraTimingOpt,impl_6,0,998,1981,17,6,,0,0.011,0.544,0.449,0.095,7442,51.68,3464,12.03,14,21.21,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/fma_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,eqs,200,5.0,5,4,9,13,,,3,default,impl_1,0,936,2142,20,6,,0,-0.114,0.51,0.415,0.094,7583,52.66,2682,9.31,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,eqs,200,5.0,5,4,9,13,,,3,Performance_Explore,impl_2,0,936,2142,20,6,,0,0.006,0.51,0.415,0.094,7608,52.83,2692,9.35,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,eqs,200,5.0,5,4,9,13,,,3,Performance_ExplorePostRoutePhysOpt,impl_3,0,936,2142,20,6,,0,0.006,0.51,0.415,0.094,7608,52.83,2692,9.35,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,eqs,200,5.0,5,4,9,13,,,3,Performance_ExploreWithRemap,impl_4,0,936,2142,20,6,,0,0.007,0.51,0.415,0.094,7584,52.67,2720,9.44,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,eqs,200,5.0,5,4,9,13,,,3,Performance_Retiming,impl_5,0,936,2142,20,6,,0,-0.142,0.51,0.415,0.094,7587,52.69,2682,9.31,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,eqs,200,5.0,5,4,9,13,,,3,Performance_ExtraTimingOpt,impl_6,0,936,2142,20,6,,0,-0.048,0.51,0.415,0.094,7610,52.85,2714,9.42,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_eqs_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,mult,200,5.0,5,4,9,13,,,3,default,impl_1,0,1074,2989,19,7,,0,-0.234,0.513,0.418,0.094,8483,58.91,2753,9.56,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,mult,200,5.0,5,4,9,13,,,3,Performance_Explore,impl_2,0,1074,2989,19,7,,0,-0.31,0.513,0.418,0.094,8492,58.97,2757,9.57,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,mult,200,5.0,5,4,9,13,,,3,Performance_ExplorePostRoutePhysOpt,impl_3,0,1074,2989,19,7,,0,0.001,0.513,0.418,0.094,8496,59.0,2757,9.57,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,mult,200,5.0,5,4,9,13,,,3,Performance_ExploreWithRemap,impl_4,0,1074,2989,19,7,,0,0.006,0.513,0.418,0.094,8505,59.06,2759,9.58,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,mult,200,5.0,5,4,9,13,,,3,Performance_Retiming,impl_5,0,1074,2989,19,7,,0,-0.164,0.513,0.418,0.094,8492,58.97,2753,9.56,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3
mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3,mads,16,mult,200,5.0,5,4,9,13,,,3,Performance_ExtraTimingOpt,impl_6,0,1074,2989,19,7,,0,-0.145,0.513,0.418,0.094,8531,59.24,2756,9.57,17,25.76,0,0.0,OK,,/local/data1/ollha42/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260608_095023/mads_N16_mult_f200MHz_latA5_latM4_latF9_latR13_mads3
