tag,alg,N,mode,frequency_mhz,period_ns,lat_addsub,lat_mul,lat_fma,lat_rec,addsub_count,mul_count,mads_count,impl_strategies,impl_run_names,max_bram,schedule_time,memory_variables,num_memories,num_processing_elements,ilp_objective_mux,synth_rc,impl_wns_ns,power_w,power_dynamic_w,power_static_w,impl_slice_luts,impl_slice_luts_util_pct,impl_slice_registers,impl_slice_registers_util_pct,impl_dsps,impl_dsps_util_pct,impl_bram_tiles,impl_bram_tiles_util_pct,status,error,run_dir
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,default,impl_1,0,114,53,3,6,28.0,0,-0.165,0.187,0.096,0.091,974,6.76,972,3.38,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_160604/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,Performance_Explore,impl_2,0,114,53,3,6,28.0,0,-0.13,0.187,0.096,0.091,980,6.81,972,3.38,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_160604/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,Performance_ExplorePostRoutePhysOpt,impl_3,0,114,53,3,6,28.0,0,-0.141,0.187,0.096,0.091,979,6.8,972,3.38,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_160604/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,Performance_ExploreWithRemap,impl_4,0,114,53,3,6,28.0,0,0.103,0.187,0.096,0.091,975,6.77,995,3.45,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_160604/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,Performance_Retiming,impl_5,0,114,53,3,6,28.0,0,-0.069,0.187,0.096,0.091,978,6.79,972,3.38,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_160604/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1,addsub,4,mult,200,5.0,5,4,9,13,1,1,,Performance_ExtraTimingOpt,impl_6,0,114,53,3,6,28.0,0,0.014,0.187,0.096,0.091,975,6.77,964,3.35,11,16.67,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_160604/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul1
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,4,mult,200,5.0,5,4,9,13,1,2,,default,impl_1,0,109,63,4,7,45.0,0,0.006,0.212,0.121,0.091,1262,8.76,1149,3.99,14,21.21,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_160604/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,4,mult,200,5.0,5,4,9,13,1,2,,Performance_Explore,impl_2,0,109,63,4,7,45.0,0,0.089,0.212,0.121,0.091,1264,8.78,1149,3.99,14,21.21,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_160604/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,4,mult,200,5.0,5,4,9,13,1,2,,Performance_ExplorePostRoutePhysOpt,impl_3,0,109,63,4,7,45.0,0,0.089,0.212,0.121,0.091,1264,8.78,1149,3.99,14,21.21,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_160604/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2,addsub,4,mult,200,5.0,5,4,9,13,1,2,,Performance_ExploreWithRemap,impl_4,0,109,63,4,7,45.0,0,-0.041,0.212,0.121,0.091,1264,8.78,1157,4.02,14,21.21,0,0.0,OK,,/local/data1/ldlt-matrix-inverse-implementation/python/ldlt_sweep/runs/20260605_160604/addsub_N4_mult_f200MHz_latA5_latM4_latF9_latR13_addsub1_mul2
